
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 1 134217984 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 1 134217985 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 1 134218240 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 1 134218241 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 1 134218496 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 1 134218497 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIInterface::sendAndReceive error calling writeRead, output=5 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=POS? 2 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=POS? 2 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=VOL? 7 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=TAD? 7 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=TSP? 7 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 7 83886082 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 7 83886080 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 7 83886081 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 7 83886337 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 7 83886338 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.518 PIGCSController:sendAndReceive error calling write, output=SPA? 7 83886339 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 7 83886340 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 7 83886341 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 2 117441280 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 2 117441281 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 2 117441282 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 2 117441280 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 2 117441024 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 2 134217984 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 2 134217985 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 2 134218240 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
2022/06/29 11:51:09.519 PIGCSController:sendAndReceive error calling write, output=SPA? 2 134218241 status=3, error=asynManager::queueLockPort queueRequest failed: port L100 not connected
